step,reward,done
0,5.013574891383283,False
1,5.009697142696353,False
2,5.009076124115114,False
3,5.008811349885385,False
4,5.008664330985323,False
5,5.0064754991414375,False
6,5.005500418152699,False
7,5.001813572029059,False
8,4.9980868544370765,False
9,4.998885485644168,False
10,4.998210505479827,False
11,4.994388377025363,False
12,4.995662592077713,False
13,4.995332706755863,False
14,4.950128279896558,False
15,4.9955038587385765,False
16,0.07423249926800042,True
0,5.002312333567231,False
1,4.998400548925173,False
2,4.997800962777547,False
3,4.997524234778405,False
4,4.997239933797932,False
5,4.994728206581671,False
6,4.993935328817622,False
7,4.989484468761804,False
8,4.9858532111008715,False
9,4.987447681189637,False
10,4.985583376253289,False
11,4.981649698218627,False
12,4.9843580650621035,False
13,4.982321991590561,False
14,4.978076423885283,False
15,4.977841702213631,False
16,0.0026275758155101386,True
0,5.0023833598328284,False
1,4.998489505895513,False
2,4.997896176438272,False
3,4.9976646457389915,False
4,4.9976254568427425,False
5,4.995614574090759,False
6,4.994041297988782,False
7,4.991128430267421,False
8,4.987095257129197,False
9,4.987668601609417,False
10,4.987097797086505,False
11,4.982950015913487,False
12,4.984598942759151,False
13,4.984681567460727,False
14,4.940788060387433,False
15,4.984538754638432,False
16,0.05809114270029067,True
0,4.994206617278657,False
1,4.99027850808684,False
2,4.989787518587118,False
3,4.989365014242892,False
4,4.989135405275363,False
5,4.986793207267482,False
6,4.986184494731985,False
7,4.981726969626608,False
8,4.978214006757781,False
9,4.979630976963777,False
10,4.978278365692415,False
11,4.97448945344291,False
12,4.976637311535222,False
13,4.975368612894797,False
14,4.97121396345262,False
15,4.857941818526825,False
16,-0.06000114922362505,True
0,4.997628273459164,False
1,4.993771009544558,False
2,4.993252627161742,False
3,4.992889562348951,False
4,4.992794379420425,False
5,4.990738892289038,False
6,4.990146693573129,False
7,4.985926060308937,False
8,4.9825037262837135,False
9,4.98377624966723,False
10,4.982672883696331,False
11,4.9789357768842155,False
12,4.980647550677677,False
13,4.9796382791739475,False
14,5.03666812366811,False
15,5.080808381420375,False
16,0.07717529443065682,True
0,4.99132882777997,False
1,4.987447922012714,False
2,4.986927924888083,False
3,4.986573075625065,False
4,4.9864397102590585,False
5,4.98432329953761,False
6,4.9832227780869625,False
7,4.979589881020381,False
8,4.975899037632719,False
9,4.976761376132186,False
10,4.975950882028032,False
11,4.972155727297325,False
12,4.973606687857162,False
13,4.9732803615850365,False
14,4.969662131184218,False
15,4.933170331028589,False
16,-0.02260164846153162,True
0,5.00294513924769,False
1,4.999059625776866,False
2,4.998491552469833,False
3,4.998261846478885,False
4,4.997997708981068,False
5,4.995905211901569,False
6,4.9943124498699065,False
7,4.991291532938204,False
8,4.987244777835725,False
9,4.987865256275592,False
10,4.987179312211941,False
11,4.983133201344027,False
12,4.984807521587529,False
13,4.984782264151618,False
14,4.980188734270129,False
15,5.030670952467741,False
16,0.07846558573814463,True
0,5.001143190064926,False
1,4.997233059736661,False
2,4.996682490518016,False
3,4.996317691005739,False
4,4.996165991965684,False
5,4.993901941639708,False
6,4.993087606006024,False
7,4.988940131945478,False
8,4.985385460853477,False
9,4.986622873710189,False
10,4.985339698318938,False
11,4.981742711166979,False
12,4.983548738424573,False
13,4.982478572550334,False
14,4.736731328033736,False
15,4.623494000513265,False
16,-0.24340935535169766,True
0,4.992603377243432,False
1,4.988691562820912,False
2,4.988136132400189,False
3,4.987856802253046,False
4,4.987669164278281,False
5,4.985486620870618,False
6,4.984360572458187,False
7,4.980678606364773,False
8,4.976973984491762,False
9,4.978055168108504,False
10,4.977014936533774,False
11,4.973097576248341,False
12,4.974895900320412,False
13,4.974333258009198,False
14,4.970560138939472,False
15,4.765278302264159,False
