step,reward,done
0,4.994055291243622,False
1,4.973999929593034,False
2,4.906526100783008,False
3,4.866301075873027,False
4,4.839105965815725,False
5,4.814915744156331,False
6,4.81019686174062,False
7,4.827765728133557,False
8,4.842318612247848,False
9,4.849550764861465,False
10,4.84232205495031,False
11,2.6178433160250503,False
12,4.407738913590417,False
13,4.686631266021778,False
14,-0.22670683738685762,True
0,5.00285247873408,False
1,4.98911467655492,False
2,4.982990215414776,False
3,4.974225601361101,False
4,4.914325552558122,False
5,4.85971480732765,False
6,4.877470087958,False
7,4.839680364617035,False
8,4.842475778752533,False
9,4.862719969295351,False
10,2.561965487111078,False
11,4.807682515439414,False
12,4.928687089056666,False
13,4.9380363996659575,False
14,4.939090952858295,False
15,4.94067873023594,False
16,4.968207232868157,False
17,4.934442889217617,False
18,-0.04978845643880318,True
0,4.997998831167158,False
1,4.9833551081088165,False
2,4.937882377736808,False
3,4.8731134605754285,False
4,4.845534443442973,False
5,4.831700325957795,False
6,4.827205080495624,False
7,4.842283126153708,False
8,4.834968986742784,False
9,4.842177623847206,False
10,4.829636610019266,False
11,4.82296915673225,False
12,4.834409940869,False
13,4.822901106520898,False
14,4.801313835170417,False
15,-0.17356884513220042,True
0,5.009044737141005,False
1,5.007497780209105,False
2,5.000733383508873,False
3,4.97344057981403,False
4,4.926850250775745,False
5,4.892446394397537,False
6,4.8924697066688365,False
7,4.905783920368781,False
8,0.5558076615878784,False
9,3.684118405935913,False
10,3.7774521807136976,False
11,4.510843478165916,False
12,4.778354992761974,False
13,4.497812801674297,False
14,4.9920150911218455,False
15,5.109787530560019,False
16,4.835001204981646,False
17,5.062734768012107,False
18,5.215651946770705,False
19,5.207985370304124,False
20,5.1410561923298514,False
21,5.171965240929976,False
22,5.06547657080656,False
23,5.158549275625922,False
24,5.169793425246751,False
25,5.21197182883542,False
26,5.125769753604464,False
27,5.072194103886369,False
28,5.057611925857066,False
29,5.0903117853065885,False
30,5.09265547759111,False
31,5.0638594257148695,False
32,5.09368622393475,False
33,5.137523720248123,False
34,5.263923253827981,False
35,5.326396683574554,False
36,5.378774992879845,False
37,5.410098616701508,False
38,5.445430091652095,False
39,5.476591978765572,False
40,5.506808373555704,False
41,5.535009315246614,False
42,5.562249033483694,False
43,5.595657773558762,False
44,5.63158637968994,False
45,5.667089799721085,False
46,5.706586810906527,False
47,0.7487165035088812,True
0,4.991769866839252,False
1,4.949863977607354,False
2,4.868901138143294,False
3,4.810836509564073,False
4,4.8332905841080365,False
5,4.796965554877093,False
6,4.832769208299201,False
7,4.797105271520952,False
8,4.828854265203909,False
9,4.805846846125247,False
10,3.86490231147443,False
11,4.488089638561478,False
12,3.468366235234368,False
13,4.716684705344906,False
14,-0.3200914569983997,True
0,4.998952817129556,False
1,4.94847675649043,False
2,4.861087514548463,False
3,4.821960180679791,False
4,4.820841095768301,False
5,4.821776910065131,False
6,4.823994108585797,False
7,4.824713784954833,False
8,4.829100934277139,False
9,4.826191544556505,False
10,4.828147032759281,False
11,4.753791853753476,False
12,4.7827736174851605,False
13,4.846215674940275,False
14,-0.14743798727492782,True
0,4.995896284828374,False
1,4.96318697182836,False
2,4.913982627940623,False
3,4.882785291009415,False
4,4.86068768924827,False
5,4.862990191262743,False
6,4.842124858930164,False
7,4.854467110261826,False
8,1.763441879022738,False
9,2.6832329910002457,False
10,3.8297351761443754,False
11,4.059727386566967,False
12,3.19412114204245,False
13,3.944189883706978,False
14,4.117651505843731,False
15,4.149804592694204,False
16,4.174994106841862,False
17,4.195015191183645,False
18,4.190234203539991,False
19,4.185997653983428,False
20,4.1801710655501285,False
21,4.179176265161518,False
22,4.180450262051677,False
23,4.171061217444433,False
24,-0.8493210412689989,True
0,4.988268318655337,False
1,4.977712645119408,False
2,4.958810830001587,False
3,4.90669793155822,False
4,4.886448622802402,False
5,4.872888530505139,False
6,4.863188799591457,False
7,4.869605043439609,False
8,4.86806796072098,False
9,4.864567087616152,False
10,4.875086095351016,False
11,4.85924635624174,False
12,4.089205511228169,False
13,4.495469556026732,False
14,4.370759872236076,False
15,4.615224866535245,False
16,5.005035338755743,False
17,5.146118299553355,False
18,5.155359918612074,False
19,4.6159901929374865,False
20,4.698498148365655,False
21,4.961909396083937,False
22,0.019474241706012196,True
0,4.994800337033008,False
1,4.96947138657152,False
2,4.918037049959415,False
3,4.895752615777245,False
4,4.880120934566748,False
5,4.875858539395029,False
6,4.8787406234227415,False
7,4.886786005116488,False
8,1.5932615818471185,False
9,4.614099398265588,False
10,1.514499787351495,False
11,5.03035118441537,False
12,5.192832771569571,False
13,5.190854337914367,False
14,5.171008557977315,False
15,5.2127954182323295,False
16,5.20255615921042,False
17,0.21050436893855173,True
0,5.007311009830601,False
1,4.999803077771737,False
2,4.971035987338901,False
3,4.912774689856287,False
4,4.875265421181797,False
5,4.864111613056623,False
6,4.862596934233041,False
7,4.859849144986393,False
8,4.860334461218874,False
9,4.860357601344665,False
10,4.808668684216814,False
11,4.787816448388839,False
12,4.834880189345243,False
13,4.830839503376409,False
14,4.603940670446663,False
15,-0.259926983136441,True
