step,reward,done
0,4.78078279525899,False
1,4.820392049649425,False
2,4.792723638398483,False
3,4.767059770508259,False
4,4.791140857230574,False
5,4.785046610124974,False
6,4.819437834397713,False
7,4.810395797738157,False
8,4.745502422757384,False
9,4.763950271403542,False
10,4.154615092344339,False
11,5.130371680932055,False
12,5.118472911756627,False
13,5.133577327899297,False
14,5.141871857534404,False
15,5.1809183993388155,False
16,5.1715059337481435,False
17,5.162941705119714,False
18,0.1255966123723403,True
