step,reward,done
0,4.786509893232275,False
1,4.826006914007228,False
2,4.798492051416113,False
3,4.77271429344715,False
4,4.796830243561939,False
5,4.790733506913643,False
6,4.825199587107727,False
7,4.816074315729642,False
8,4.751187583536369,False
9,0.7600173897846245,False
10,4.37822696974643,False
11,5.181464453303596,False
12,5.179562059625174,False
13,5.195669114492601,False
14,5.20405788817245,False
15,5.243481165297093,False
16,5.234469383855642,False
17,5.224981641074695,False
18,0.1880078105492536,True
