step,reward,done
0,4.8007409561469485,False
1,4.840201568132699,False
2,4.812686991703523,False
3,4.78699502984423,False
4,4.811088589641608,False
5,4.805059169775607,False
6,4.839431230863294,False
7,4.8303508018985335,False
8,4.765468495963731,False
9,2.2459687985640917,False
10,4.825050120827959,False
11,5.186495676039874,False
12,5.176968123128441,False
13,5.19379300815497,False
14,5.2021401700487075,False
15,5.241474526368268,False
16,5.232281173519025,False
17,5.22288059782319,False
18,5.186128635011134,False
19,0.20885419203307776,True
