step,reward,done
0,4.785987350669018,False
1,4.825647646317434,False
2,4.797933335558725,False
3,4.7723795867673084,False
4,4.796452619642519,False
5,4.79023760179012,False
6,4.824801352319664,False
7,4.814894824035215,False
8,4.75088547826878,False
9,1.557916373748732,False
10,4.18313077401861,False
11,5.138265128779757,False
12,5.1423110237453376,False
13,5.156398975086144,False
14,5.164808447402593,False
15,5.204370331824077,False
16,5.194875547605025,False
17,5.185969989118347,False
18,5.148423525753362,False
19,0.1716916943323441,True
