step,reward,done
0,4.790508659761462,False
1,4.82998833145239,False
2,4.802445424526452,False
3,4.776759068033117,False
4,4.800896067686068,False
5,4.794827500381869,False
6,4.829235770304812,False
7,4.8200520773976585,False
8,4.755256172041947,False
9,1.6739678243385923,False
10,4.702560356407239,False
11,5.192251544545151,False
12,5.185346259359826,False
13,5.2021434361722605,False
14,5.210479160779662,False
15,5.249828789625455,False
16,5.240732475568495,False
17,5.231301849866856,False
18,5.194428437554368,False
19,0.217171664156384,True
