step,reward,done
0,4.751370114621906,False
1,4.814683279094066,False
2,4.763810330484349,False
3,4.756147669964566,False
4,4.7977227694853735,False
5,4.739239004016792,False
6,4.7938048024066,False
7,4.8036288040933055,False
8,4.7684506200348595,False
9,3.3062867468312382,False
10,3.28626437965545,False
11,4.030014691969738,False
12,4.465571696000692,False
13,4.535577764646021,False
14,4.534177402604353,False
15,4.553663108925905,False
16,1.7668203235521434,False
17,4.248828130431947,False
18,4.415691072155991,False
19,2.905056201744326,False
20,4.170701900979768,False
21,4.382221152527038,False
22,4.406986040732023,False
23,4.378226410345046,False
24,4.453848137567517,False
25,4.3768269447136,False
26,3.6450250802591793,False
27,4.086225309962857,False
28,3.785009297752898,False
29,4.075139273338849,False
30,3.691390900880656,False
31,3.914657829899096,False
32,4.285325195469681,False
33,4.434799069037517,False
34,4.531895769411247,False
35,4.498285023823654,False
36,4.500763738626172,False
37,3.885077713685717,False
38,4.43612126033409,False
39,4.445767509842812,False
40,4.465018628561048,False
41,4.4402692082778685,False
42,4.439061717721974,False
43,4.36996684790513,False
44,-0.8199018759659077,True
